"yr","stdg_cd","dat_no","jan","feb","mar","apr","may","jun","july","aug","sep","oct","nov","dec","qu_1","qu_2","qu_3","qu_4","ht_1","ht_2","yr_vl","pd_se","frst_reg_dt","last_mdfcn_dt"
"2019","4711000000",M020011,,,,,,,,,,,,,,,,,,,17040,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4311100000",M020011,,,,,,,,,,,,,,,,,,,6000,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4279000000",M020011,,,,,,,,,,,,,,,,,,,1356,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4794000000",M020011,,,,,,,,,,,,,,,,,,,507,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4146500000",M020011,,,,,,,,,,,,,,,,,,,4711,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4213000000",M020011,,,,,,,,,,,,,,,,,,,12454,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4113500000",M020011,,,,,,,,,,,,,,,,,,,9516,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4223000000",M020011,,,,,,,,,,,,,,,,,,,3839,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4150000000",M020011,,,,,,,,,,,,,,,,,,,5224,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","3114000000",M020011,,,,,,,,,,,,,,,,,,,6852,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4139000000",M020011,,,,,,,,,,,,,,,,,,,9663,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4812300000",M020011,,,,,,,,,,,,,,,,,,,2592,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","1171000000",M020011,,,,,,,,,,,,,,,,,,,11128,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4812900000",M020011,,,,,,,,,,,,,,,,,,,5221,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
